Magnetic Field Strength (10X), ChA, Run #8
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0008203375
0.1000	0.0008203375
0.2000	0.0008252205
0.3000	0.0008252205
0.4000	0.0008252205
0.5000	0.0008203375
0.6000	0.0008252205
0.7000	0.0008252205
0.8000	0.0008252205
0.9000	0.0008252205
1.0000	0.0008252205
1.1000	0.0008252205
1.2000	0.0008252205
1.3000	0.0008203375
1.4000	0.0008252205
1.5000	0.0008203375
1.6000	0.0008252205
1.7000	0.0008252205
1.8000	0.0008252205
1.9000	0.0008252205
2.0000	0.0008252205
2.1000	0.0008252205
2.2000	0.0008252205
2.3000	0.0008252205
2.4000	0.0008252205
2.5000	0.0008252205
2.6000	0.0008252205
2.7000	0.0008252205
2.8000	0.0008252205
2.9000	0.0008252205
3.0000	0.0008252205
3.1000	0.0008203375
3.2000	0.0008203375
3.3000	0.0008252205
3.4000	0.0008203375
3.5000	0.0008203375
3.6000	0.0008252205
3.7000	0.0008252205
3.8000	0.0008252205
3.9000	0.0008252205
4.0000	0.0008252205
4.1000	0.0008252205
4.2000	0.0008203375
4.3000	0.0008252205
4.4000	0.0008252205
4.5000	0.0008252205
4.6000	0.0008252205
4.7000	0.0008252205
4.8000	0.0008203375
4.9000	0.0008203375
5.0000	0.0008252205
5.1000	0.0008252205
5.2000	0.0008252205
5.3000	0.0008252205
5.4000	0.0008252205
5.5000	0.0008252205
5.6000	0.0008252205
5.7000	0.0008301035
5.8000	0.0008301035
5.9000	0.0008252205
6.0000	0.0008252205
6.1000	0.0008252205
6.2000	0.0008252205
6.3000	0.0008203375
6.4000	0.0008252205
6.5000	0.0008252205
6.6000	0.0008252205
6.7000	0.0008252205
6.8000	0.0008252205
6.9000	0.0008252205
7.0000	0.0008252205
7.1000	0.0008301035
7.2000	0.0008252205
7.3000	0.0008203375
7.4000	0.0008252205
7.5000	0.0008252205
7.6000	0.0008203375
7.7000	0.0008301035
7.8000	0.0008203375
7.9000	0.0008252205
8.0000	0.0008252205
8.1000	0.0008252205
8.2000	0.0008203375
8.3000	0.0008252205
8.4000	0.0008252205
8.5000	0.0008252205
8.6000	0.0008252205
8.7000	0.0008252205
8.8000	0.0008252205
8.9000	0.0008252205
9.0000	0.0008252205
9.1000	0.0008252205
9.2000	0.0008252205
9.3000	0.0008301035
9.4000	0.0008252205
9.5000	0.0008252205
9.6000	0.0008252205
9.7000	0.0008252205
9.8000	0.0008203375
9.9000	0.0008252205
10.0000	0.0008252205
