Magnetic Field Strength (10X), ChA, Run #9
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0010351878
0.1000	0.0010400708
0.2000	0.0010400708
0.3000	0.0010400708
0.4000	0.0010498367
0.5000	0.0010449538
0.6000	0.0010351878
0.7000	0.0010449538
0.8000	0.0010449538
0.9000	0.0010400708
1.0000	0.0010449538
1.1000	0.0010400708
1.2000	0.0010351878
1.3000	0.0010400708
1.4000	0.0010400708
1.5000	0.0010400708
1.6000	0.0010400708
1.7000	0.0010400708
1.8000	0.0010400708
1.9000	0.0010400708
2.0000	0.0010400708
2.1000	0.0010400708
2.2000	0.0010400708
2.3000	0.0010400708
2.4000	0.0010400708
2.5000	0.0010351878
2.6000	0.0010400708
2.7000	0.0010400708
2.8000	0.0010400708
2.9000	0.0010400708
3.0000	0.0010351878
3.1000	0.0010351878
3.2000	0.0010351878
3.3000	0.0010400708
3.4000	0.0010351878
3.5000	0.0010351878
3.6000	0.0010351878
3.7000	0.0010400708
3.8000	0.0010400708
3.9000	0.0010400708
4.0000	0.0010400708
4.1000	0.0010400708
4.2000	0.0010400708
4.3000	0.0010351878
4.4000	0.0010351878
4.5000	0.0010351878
4.6000	0.0010400708
4.7000	0.0010400708
4.8000	0.0010400708
4.9000	0.0010400708
5.0000	0.0010400708
5.1000	0.0010400708
5.2000	0.0010449538
5.3000	0.0010400708
5.4000	0.0010351878
5.5000	0.0010400708
5.6000	0.0010400708
5.7000	0.0010400708
5.8000	0.0010351878
5.9000	0.0010400708
6.0000	0.0010449538
6.1000	0.0010351878
6.2000	0.0010400708
6.3000	0.0010400708
6.4000	0.0010400708
6.5000	0.0010400708
6.6000	0.0010400708
6.7000	0.0010351878
6.8000	0.0010400708
6.9000	0.0010400708
7.0000	0.0010400708
7.1000	0.0010400708
7.2000	0.0010400708
7.3000	0.0010351878
7.4000	0.0010351878
7.5000	0.0010351878
7.6000	0.0010400708
7.7000	0.0010351878
7.8000	0.0010400708
7.9000	0.0010351878
8.0000	0.0010400708
8.1000	0.0010351878
8.2000	0.0010351878
8.3000	0.0010351878
8.4000	0.0010400708
8.5000	0.0010351878
8.6000	0.0010400708
8.7000	0.0010400708
8.8000	0.0010351878
8.9000	0.0010351878
9.0000	0.0010400708
9.1000	0.0010400708
9.2000	0.0010400708
9.3000	0.0010400708
9.4000	0.0010400708
9.5000	0.0010351878
9.6000	0.0010400708
9.7000	0.0010351878
9.8000	0.0010400708
9.9000	0.0010400708
10.0000	0.0010351878
