Magnetic Field Strength (10X), ChA, Run #7
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0006054872
0.1000	0.0006054872
0.2000	0.0006054872
0.3000	0.0006054872
0.4000	0.0006054872
0.5000	0.0006054872
0.6000	0.0006054872
0.7000	0.0006054872
0.8000	0.0006103702
0.9000	0.0006103702
1.0000	0.0006054872
1.1000	0.0006054872
1.2000	0.0006054872
1.3000	0.0006054872
1.4000	0.0006054872
1.5000	0.0006054872
1.6000	0.0006054872
1.7000	0.0006103702
1.8000	0.0006054872
1.9000	0.0006103702
2.0000	0.0006054872
2.1000	0.0006054872
2.2000	0.0006054872
2.3000	0.0006054872
2.4000	0.0006054872
2.5000	0.0006054872
2.6000	0.0006054872
2.7000	0.0006054872
2.8000	0.0006103702
2.9000	0.0006054872
3.0000	0.0006054872
3.1000	0.0006054872
3.2000	0.0006054872
3.3000	0.0006054872
3.4000	0.0006054872
3.5000	0.0006054872
3.6000	0.0006054872
3.7000	0.0006054872
3.8000	0.0006054872
3.9000	0.0006054872
4.0000	0.0006054872
4.1000	0.0006054872
4.2000	0.0006054872
4.3000	0.0006054872
4.4000	0.0006103702
4.5000	0.0006054872
4.6000	0.0006054872
4.7000	0.0006054872
4.8000	0.0006054872
4.9000	0.0006054872
5.0000	0.0006103702
5.1000	0.0006054872
5.2000	0.0006054872
5.3000	0.0006054872
5.4000	0.0006054872
5.5000	0.0006054872
5.6000	0.0006054872
5.7000	0.0006054872
5.8000	0.0006054872
5.9000	0.0006054872
6.0000	0.0006054872
6.1000	0.0006054872
6.2000	0.0006054872
6.3000	0.0006054872
6.4000	0.0006054872
6.5000	0.0006152532
6.6000	0.0006054872
6.7000	0.0006054872
6.8000	0.0006054872
6.9000	0.0006054872
7.0000	0.0006054872
7.1000	0.0006054872
7.2000	0.0006054872
7.3000	0.0006103702
7.4000	0.0006054872
7.5000	0.0006054872
7.6000	0.0006054872
7.7000	0.0006054872
7.8000	0.0006054872
7.9000	0.0006103702
8.0000	0.0006054872
8.1000	0.0006054872
8.2000	0.0006054872
8.3000	0.0006103702
8.4000	0.0006054872
8.5000	0.0006054872
8.6000	0.0006054872
8.7000	0.0006054872
8.8000	0.0006054872
8.9000	0.0006054872
9.0000	0.0006054872
9.1000	0.0006054872
9.2000	0.0006054872
9.3000	0.0006054872
9.4000	0.0006054872
9.5000	0.0006054872
9.6000	0.0006054872
9.7000	0.0006054872
9.8000	0.0006054872
9.9000	0.0006054872
10.0000	0.0006054872
