Magnetic Field Strength (10X), ChA, Run #5
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0001855525
0.1000	0.0001953185
0.2000	0.0001953185
0.3000	0.0001904355
0.4000	0.0001904355
0.5000	0.0001855525
0.6000	0.0001904355
0.7000	0.0001855525
0.8000	0.0001904355
0.9000	0.0001904355
1.0000	0.0001855525
1.1000	0.0001904355
1.2000	0.0001953185
1.3000	0.0001904355
1.4000	0.0001904355
1.5000	0.0001855525
1.6000	0.0001904355
1.7000	0.0001855525
1.8000	0.0001904355
1.9000	0.0001904355
2.0000	0.0001855525
2.1000	0.0001855525
2.2000	0.0001904355
2.3000	0.0001855525
2.4000	0.0001855525
2.5000	0.0001855525
2.6000	0.0001855525
2.7000	0.0001855525
2.8000	0.0001855525
2.9000	0.0001855525
3.0000	0.0001855525
3.1000	0.0001904355
3.2000	0.0001855525
3.3000	0.0001904355
3.4000	0.0001855525
3.5000	0.0001904355
3.6000	0.0001855525
3.7000	0.0001855525
3.8000	0.0001855525
3.9000	0.0001904355
4.0000	0.0001855525
4.1000	0.0001904355
4.2000	0.0001855525
4.3000	0.0001855525
4.4000	0.0001855525
4.5000	0.0001904355
4.6000	0.0001855525
4.7000	0.0001855525
4.8000	0.0001806696
4.9000	0.0001855525
5.0000	0.0001953185
5.1000	0.0001904355
5.2000	0.0001904355
5.3000	0.0001855525
5.4000	0.0001855525
5.5000	0.0001855525
5.6000	0.0001855525
5.7000	0.0001806696
5.8000	0.0001904355
5.9000	0.0001855525
6.0000	0.0001855525
6.1000	0.0001855525
6.2000	0.0001855525
6.3000	0.0001855525
6.4000	0.0001855525
6.5000	0.0001855525
6.6000	0.0001855525
6.7000	0.0001855525
6.8000	0.0001855525
6.9000	0.0001855525
7.0000	0.0001855525
7.1000	0.0001904355
7.2000	0.0001855525
7.3000	0.0001855525
7.4000	0.0001904355
7.5000	0.0001855525
7.6000	0.0001855525
7.7000	0.0001855525
7.8000	0.0001855525
7.9000	0.0001855525
8.0000	0.0001904355
8.1000	0.0001904355
8.2000	0.0001904355
8.3000	0.0001855525
8.4000	0.0001855525
8.5000	0.0001904355
8.6000	0.0001855525
8.7000	0.0001855525
8.8000	0.0001904355
8.9000	0.0001855525
9.0000	0.0001855525
9.1000	0.0001855525
9.2000	0.0001904355
9.3000	0.0001855525
9.4000	0.0001855525
9.5000	0.0001855525
9.6000	0.0001855525
9.7000	0.0001855525
9.8000	0.0001855525
9.9000	0.0001855525
10.0000	0.0001855525
