Magnetic Field Strength (10X), ChA, Run #6
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0003906369
0.1000	0.0003906369
0.2000	0.0003906369
0.3000	0.0003906369
0.4000	0.0003955199
0.5000	0.0003955199
0.6000	0.0003955199
0.7000	0.0003906369
0.8000	0.0003906369
0.9000	0.0003906369
1.0000	0.0003906369
1.1000	0.0003906369
1.2000	0.0003906369
1.3000	0.0003906369
1.4000	0.0003955199
1.5000	0.0003955199
1.6000	0.0003955199
1.7000	0.0003906369
1.8000	0.0003906369
1.9000	0.0003906369
2.0000	0.0003955199
2.1000	0.0003906369
2.2000	0.0003906369
2.3000	0.0003906369
2.4000	0.0003906369
2.5000	0.0003906369
2.6000	0.0003906369
2.7000	0.0003906369
2.8000	0.0003906369
2.9000	0.0003906369
3.0000	0.0003906369
3.1000	0.0003906369
3.2000	0.0003906369
3.3000	0.0003906369
3.4000	0.0003906369
3.5000	0.0003906369
3.6000	0.0003906369
3.7000	0.0003906369
3.8000	0.0003906369
3.9000	0.0003906369
4.0000	0.0003906369
4.1000	0.0003906369
4.2000	0.0003906369
4.3000	0.0003906369
4.4000	0.0003906369
4.5000	0.0003906369
4.6000	0.0003906369
4.7000	0.0003906369
4.8000	0.0003906369
4.9000	0.0003906369
5.0000	0.0003906369
5.1000	0.0003906369
5.2000	0.0003906369
5.3000	0.0003906369
5.4000	0.0003906369
5.5000	0.0003906369
5.6000	0.0003955199
5.7000	0.0003906369
5.8000	0.0003906369
5.9000	0.0003906369
6.0000	0.0003906369
6.1000	0.0003906369
6.2000	0.0003906369
6.3000	0.0003906369
6.4000	0.0003906369
6.5000	0.0003906369
6.6000	0.0003906369
6.7000	0.0003906369
6.8000	0.0003955199
6.9000	0.0003906369
7.0000	0.0003906369
7.1000	0.0003906369
7.2000	0.0003906369
7.3000	0.0003906369
7.4000	0.0003955199
7.5000	0.0003906369
7.6000	0.0003906369
7.7000	0.0003906369
7.8000	0.0003955199
7.9000	0.0003906369
8.0000	0.0003906369
8.1000	0.0003906369
8.2000	0.0003955199
8.3000	0.0003906369
8.4000	0.0003906369
8.5000	0.0003906369
8.6000	0.0003906369
8.7000	0.0003906369
8.8000	0.0003906369
8.9000	0.0003906369
9.0000	0.0003906369
9.1000	0.0003906369
9.2000	0.0003906369
9.3000	0.0003906369
9.4000	0.0003906369
9.5000	0.0003906369
9.6000	0.0003906369
9.7000	0.0003906369
9.8000	0.0003906369
9.9000	0.0003955199
10.0000	0.0003906369
