Magnetic Field Strength (10X), ChA, Run #12
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0014551225
0.1000	0.0014648885
0.2000	0.0014648885
0.3000	0.0014648885
0.4000	0.0014648885
0.5000	0.0014648885
0.6000	0.0014648885
0.7000	0.0014648885
0.8000	0.0014697714
0.9000	0.0014697714
1.0000	0.0014648885
1.1000	0.0014648885
1.2000	0.0014648885
1.3000	0.0014697714
1.4000	0.0014648885
1.5000	0.0014697714
1.6000	0.0014648885
1.7000	0.0014648885
1.8000	0.0014697714
1.9000	0.0014648885
2.0000	0.0014648885
2.1000	0.0014648885
2.2000	0.0014648885
2.3000	0.0014648885
2.4000	0.0014648885
2.5000	0.0014648885
2.6000	0.0014648885
2.7000	0.0014648885
2.8000	0.0014648885
2.9000	0.0014648885
3.0000	0.0014648885
3.1000	0.0014648885
3.2000	0.0014648885
3.3000	0.0014648885
3.4000	0.0014648885
3.5000	0.0014648885
3.6000	0.0014648885
3.7000	0.0014648885
3.8000	0.0014648885
3.9000	0.0014648885
4.0000	0.0014648885
4.1000	0.0014648885
4.2000	0.0014648885
4.3000	0.0014648885
4.4000	0.0014648885
4.5000	0.0014648885
4.6000	0.0014648885
4.7000	0.0014648885
4.8000	0.0014648885
4.9000	0.0014648885
5.0000	0.0014648885
5.1000	0.0014648885
5.2000	0.0014697714
5.3000	0.0014648885
5.4000	0.0014648885
5.5000	0.0014648885
5.6000	0.0014648885
5.7000	0.0014648885
5.8000	0.0014648885
5.9000	0.0014648885
6.0000	0.0014697714
6.1000	0.0014648885
6.2000	0.0014648885
6.3000	0.0014648885
6.4000	0.0014648885
6.5000	0.0014648885
6.6000	0.0014648885
6.7000	0.0014648885
6.8000	0.0014648885
6.9000	0.0014648885
7.0000	0.0014697714
7.1000	0.0014697714
7.2000	0.0014697714
7.3000	0.0014697714
7.4000	0.0014697714
7.5000	0.0014697714
7.6000	0.0014697714
7.7000	0.0014697714
7.8000	0.0014697714
7.9000	0.0014648885
8.0000	0.0014648885
8.1000	0.0014648885
8.2000	0.0014697714
8.3000	0.0014746544
8.4000	0.0014697714
8.5000	0.0014697714
8.6000	0.0014648885
8.7000	0.0014697714
8.8000	0.0014648885
8.9000	0.0014648885
9.0000	0.0014648885
9.1000	0.0014648885
9.2000	0.0014648885
9.3000	0.0014697714
9.4000	0.0014697714
9.5000	0.0014697714
9.6000	0.0014648885
9.7000	0.0014648885
9.8000	0.0014648885
9.9000	0.0014648885
10.0000	0.0014648885
